objective,epoch,entity_name,entity_key,assigned_message,count,cost
frequency,50,Wolf,0 0 3 3 1 0,38 31 0,523.000000,216.000000
frequency,50,Lion,0 0 4 4 1 0,22 22 0,554.000000,185.000000
frequency,50,Bear,0 0 4 4 1 3,12 12 0,69.000000,670.000000
frequency,50,Goat,0 1 1 3 1 0,38 14 0,560.000000,179.000000
frequency,50,Deer,0 1 1 4 1 1,42 42 0,227.000000,512.000000
frequency,50,Lizard,0 2 1 3 0 1,9 42 0,190.000000,549.000000
frequency,50,Snake,0 2 3 2 0 0,38 46 0,527.000000,212.000000
frequency,50,Fish,0 3 0 3 2 2,30 42 0,174.000000,565.000000
frequency,50,Salmon,0 3 0 4 2 2,27 12 0,173.000000,566.000000
frequency,50,Squirrel,0 4 0 2 0 1,41 9 0,238.000000,501.000000
frequency,50,Rabbit,0 4 1 3 1 1,30 27 0,210.000000,529.000000
frequency,50,Firewood,1 1 0 2 0 0,38 38 0,719.000000,20.000000
frequency,50,Wood,1 1 1 2 0 1,46 2 0,260.000000,479.000000
frequency,50,Water,1 2 0 3 0 0,38 16 0,738.000000,1.000000
frequency,50,Muddy Water,1 2 2 3 0 2,29 42 0,252.000000,487.000000
frequency,50,Herbs,1 3 0 2 0 1,46 46 0,305.000000,434.000000
frequency,50,Berries,1 3 1 3 0 1,46 9 0,302.000000,437.000000
frequency,50,Mushrooms,1 3 2 3 0 0,38 42 0,662.000000,77.000000
frequency,50,Stone,1 4 0 2 0 0,47 38 0,690.000000,49.000000
frequency,50,Flint,1 4 1 2 0 0,38 0 0,739.000000,0.000000
frequency,50,Storm,2 0 3 0 4 2,32 12 0,121.000000,618.000000
frequency,50,Blizzard,2 0 4 0 4 0,34 34 0,425.000000,314.000000
frequency,50,Cold Night,2 1 2 1 3 4,12 27 0,64.000000,675.000000
frequency,50,Frost,2 1 3 0 3 4,12 32 0,58.000000,681.000000
frequency,50,Thorns,2 2 2 1 0 1,42 12 0,240.000000,499.000000
frequency,50,Poison Plant,2 2 3 0 0 0,22 19 0,405.000000,334.000000
frequency,50,Cliff,2 3 3 1 0 0,22 42 0,416.000000,323.000000
frequency,50,Quicksand,2 3 4 0 0 2,12 45 0,129.000000,610.000000
frequency,50,Fever,2 4 2 1 0 0,46 3 0,447.000000,292.000000
frequency,50,Infection,2 4 3 0 0 0,19 4 0,382.000000,357.000000
frequency,50,Weapon Cache,3 0 0 2 0 0,38 28 0,665.000000,74.000000
frequency,50,Dry Campsite,3 1 0 2 0 1,46 42 0,219.000000,520.000000
frequency,50,Rocky Outcrop,3 2 0 2 0 3,12 42 0,52.000000,687.000000
frequency,50,Riverbank,3 3 0 2 0 2,42 27 0,205.000000,534.000000
frequency,50,Herb Garden,3 4 0 2 0 1,3 42 0,230.000000,509.000000
frequency,50,Supply Cache,4 0 0 3 0 0,10 16 0,396.000000,343.000000
frequency,50,River Crossing,4 1 1 2 0 0,14 7 0,356.000000,383.000000
frequency,50,Animal Migration,4 2 0 3 1 0,34 16 0,355.000000,384.000000
frequency,50,Berry Patch,4 3 0 4 0 1,27 45 0,180.000000,559.000000
frequency,50,Cave,4 4 0 2 0 4,12 9 0,60.000000,679.000000
distance,50,Wolf,0 0 3 3 1 0,38 31 0,523.000000,0.000000
distance,50,Lion,0 0 4 4 1 0,22 22 0,554.000000,0.000000
distance,50,Bear,0 0 4 4 1 3,12 12 0,69.000000,0.000000
distance,50,Goat,0 1 1 3 1 0,38 14 0,560.000000,0.000000
distance,50,Deer,0 1 1 4 1 1,42 42 0,227.000000,0.000000
