message,entities_using_message,total_count,entity_list
22 38 0,1,726.0,Firewood
22 22 0,1,719.0,Stone
36 38 0,1,717.0,Water
22 2 0,1,701.0,Flint
27 22 0,1,694.0,Mushrooms
27 31 0,1,649.0,Weapon Cache
9 31 0,1,588.0,Wolf
9 2 0,1,542.0,Goat
2 27 0,1,513.0,Snake
9 7 0,1,505.0,Lion
38 40 0,1,480.0,Fever
7 7 0,1,448.0,Blizzard
15 31 0,1,430.0,Supply Cache
38 7 0,1,428.0,Poison Plant
38 9 0,1,428.0,Infection
31 40 0,1,414.0,Cliff
40 40 0,1,368.0,Animal Migration
30 27 0,1,345.0,River Crossing
38 38 0,1,331.0,Wood
38 46 0,1,324.0,Berries
38 32 0,1,288.0,Herbs
8 0 0,1,268.0,Muddy Water
32 46 0,1,243.0,Herb Garden
46 32 0,1,240.0,Squirrel
19 0 0,1,229.0,Riverbank
43 31 0,1,229.0,Dry Campsite
21 0 0,1,225.0,Lizard
14 0 0,1,211.0,Fish
46 46 0,1,210.0,Deer
6 0 0,1,209.0,Thorns
0 0 0,1,204.0,Salmon
46 0 0,1,192.0,Rabbit
3 0 0,1,168.0,Berry Patch
11 0 0,1,140.0,Storm
24 0 0,1,127.0,Quicksand
28 0 0,1,63.0,Frost
4 0 0,1,58.0,Bear
45 0 0,1,58.0,Cave
35 0 0,1,52.0,Rocky Outcrop
48 0 0,1,49.0,Cold Night
