objective,epoch,entity_name,entity_key,assigned_message,count,cost
frequency,50,Wolf,0 0 3 3 1 0,14 23 0,539.000000,210.000000
frequency,50,Lion,0 0 4 4 1 0,14 7 0,525.000000,224.000000
frequency,50,Bear,0 0 4 4 1 3,__DUMMY__,0.000000,750.000000
frequency,50,Goat,0 1 1 3 1 0,20 30 0,512.000000,237.000000
frequency,50,Deer,0 1 1 4 1 1,__DUMMY__,0.000000,750.000000
frequency,50,Lizard,0 2 1 3 0 1,3 23 0,201.000000,548.000000
frequency,50,Snake,0 2 3 2 0 0,37 37 0,517.000000,232.000000
frequency,50,Fish,0 3 0 3 2 2,__DUMMY__,0.000000,750.000000
frequency,50,Salmon,0 3 0 4 2 2,__DUMMY__,0.000000,750.000000
frequency,50,Squirrel,0 4 0 2 0 1,46 23 0,238.000000,511.000000
frequency,50,Rabbit,0 4 1 3 1 1,__DUMMY__,0.000000,750.000000
frequency,50,Firewood,1 1 0 2 0 0,8 6 0,741.000000,8.000000
frequency,50,Wood,1 1 1 2 0 1,__DUMMY__,0.000000,750.000000
frequency,50,Water,1 2 0 3 0 0,__DUMMY__,0.000000,750.000000
frequency,50,Muddy Water,1 2 2 3 0 2,__DUMMY__,0.000000,750.000000
frequency,50,Herbs,1 3 0 2 0 1,__DUMMY__,0.000000,750.000000
frequency,50,Berries,1 3 1 3 0 1,__DUMMY__,0.000000,750.000000
frequency,50,Mushrooms,1 3 2 3 0 0,44 44 0,673.000000,76.000000
frequency,50,Stone,1 4 0 2 0 0,13 14 0,749.000000,0.000000
frequency,50,Flint,1 4 1 2 0 0,__DUMMY__,0.000000,750.000000
frequency,50,Storm,2 0 3 0 4 2,__DUMMY__,0.000000,750.000000
frequency,50,Blizzard,2 0 4 0 4 0,14 45 0,446.000000,303.000000
frequency,50,Cold Night,2 1 2 1 3 4,__DUMMY__,0.000000,750.000000
frequency,50,Frost,2 1 3 0 3 4,__DUMMY__,0.000000,750.000000
frequency,50,Thorns,2 2 2 1 0 1,__DUMMY__,0.000000,750.000000
frequency,50,Poison Plant,2 2 3 0 0 0,__DUMMY__,0.000000,750.000000
frequency,50,Cliff,2 3 3 1 0 0,14 1 0,448.000000,301.000000
frequency,50,Quicksand,2 3 4 0 0 2,__DUMMY__,0.000000,750.000000
frequency,50,Fever,2 4 2 1 0 0,9 23 0,418.000000,331.000000
frequency,50,Infection,2 4 3 0 0 0,__DUMMY__,0.000000,750.000000
frequency,50,Weapon Cache,3 0 0 2 0 0,__DUMMY__,0.000000,750.000000
frequency,50,Dry Campsite,3 1 0 2 0 1,__DUMMY__,0.000000,750.000000
frequency,50,Rocky Outcrop,3 2 0 2 0 3,__DUMMY__,0.000000,750.000000
frequency,50,Riverbank,3 3 0 2 0 2,__DUMMY__,0.000000,750.000000
frequency,50,Herb Garden,3 4 0 2 0 1,__DUMMY__,0.000000,750.000000
frequency,50,Supply Cache,4 0 0 3 0 0,39 6 0,366.000000,383.000000
frequency,50,River Crossing,4 1 1 2 0 0,39 14 0,384.000000,365.000000
frequency,50,Animal Migration,4 2 0 3 1 0,14 14 0,368.000000,381.000000
frequency,50,Berry Patch,4 3 0 4 0 1,37 14 0,186.000000,563.000000
frequency,50,Cave,4 4 0 2 0 4,__DUMMY__,0.000000,750.000000
distance,50,Wolf,0 0 3 3 1 0,14 23 0,539.000000,0.000000
distance,50,Lion,0 0 4 4 1 0,14 7 0,525.000000,0.251309
distance,50,Bear,0 0 4 4 1 3,__DUMMY__,0.000000,21.000000
distance,50,Goat,0 1 1 3 1 0,20 30 0,512.000000,1.460123
distance,50,Deer,0 1 1 4 1 1,__DUMMY__,0.000000,21.000000
distance,50,Lizard,0 2 1 3 0 1,3 23 0,201.000000,0.000000
distance,50,Snake,0 2 3 2 0 0,37 37 0,517.000000,0.000000
distance,50,Fish,0 3 0 3 2 2,__DUMMY__,0.000000,21.000000
distance,50,Salmon,0 3 0 4 2 2,37 14 0,172.000000,2.804971
distance,50,Squirrel,0 4 0 2 0 1,46 23 0,238.000000,0.000000
distance,50,Rabbit,0 4 1 3 1 1,__DUMMY__,0.000000,21.000000
distance,50,Firewood,1 1 0 2 0 0,8 6 0,741.000000,2.287671
distance,50,Wood,1 1 1 2 0 1,__DUMMY__,0.000000,21.000000
distance,50,Water,1 2 0 3 0 0,__DUMMY__,0.000000,21.000000
distance,50,Muddy Water,1 2 2 3 0 2,__DUMMY__,0.000000,21.000000
distance,50,Herbs,1 3 0 2 0 1,13 14 0,291.000000,1.503916
distance,50,Berries,1 3 1 3 0 1,__DUMMY__,0.000000,21.000000
distance,50,Mushrooms,1 3 2 3 0 0,44 44 0,673.000000,0.713477
distance,50,Stone,1 4 0 2 0 0,__DUMMY__,0.000000,21.000000
distance,50,Flint,1 4 1 2 0 0,__DUMMY__,0.000000,21.000000
distance,50,Storm,2 0 3 0 4 2,__DUMMY__,0.000000,21.000000
distance,50,Blizzard,2 0 4 0 4 0,14 45 0,446.000000,0.000000
distance,50,Cold Night,2 1 2 1 3 4,__DUMMY__,0.000000,21.000000
distance,50,Frost,2 1 3 0 3 4,__DUMMY__,0.000000,21.000000
distance,50,Thorns,2 2 2 1 0 1,9 23 0,226.000000,1.703704
distance,50,Poison Plant,2 2 3 0 0 0,14 1 0,444.000000,1.889435
distance,50,Cliff,2 3 3 1 0 0,__DUMMY__,0.000000,21.000000
distance,50,Quicksand,2 3 4 0 0 2,__DUMMY__,0.000000,21.000000
distance,50,Fever,2 4 2 1 0 0,__DUMMY__,0.000000,21.000000
distance,50,Infection,2 4 3 0 0 0,__DUMMY__,0.000000,21.000000
distance,50,Weapon Cache,3 0 0 2 0 0,__DUMMY__,0.000000,21.000000
distance,50,Dry Campsite,3 1 0 2 0 1,__DUMMY__,0.000000,21.000000
distance,50,Rocky Outcrop,3 2 0 2 0 3,__DUMMY__,0.000000,21.000000
distance,50,Riverbank,3 3 0 2 0 2,__DUMMY__,0.000000,21.000000
distance,50,Herb Garden,3 4 0 2 0 1,__DUMMY__,0.000000,21.000000
distance,50,Supply Cache,4 0 0 3 0 0,39 6 0,366.000000,0.000000
distance,50,River Crossing,4 1 1 2 0 0,39 14 0,384.000000,0.000000
distance,50,Animal Migration,4 2 0 3 1 0,14 14 0,368.000000,0.000000
distance,50,Berry Patch,4 3 0 4 0 1,__DUMMY__,0.000000,21.000000
distance,50,Cave,4 4 0 2 0 4,__DUMMY__,0.000000,21.000000
