message,entities_using_message,total_count,entity_list
20 43 0,1,749.0,Stone
20 20 0,1,741.0,Firewood
20 15 0,1,740.0,Flint
20 49 0,1,734.0,Water
20 5 0,1,683.0,Weapon Cache
20 46 0,1,673.0,Mushrooms
20 39 0,1,539.0,Wolf
20 17 0,1,525.0,Lion
20 26 0,1,517.0,Snake
20 41 0,1,512.0,Goat
25 10 0,1,448.0,Cliff
15 10 0,1,446.0,Blizzard
22 25 0,1,444.0,Poison Plant
15 26 0,1,440.0,Infection
20 6 0,1,418.0,Fever
15 33 0,1,384.0,River Crossing
15 41 0,1,368.0,Animal Migration
25 12 0,1,366.0,Supply Cache
28 33 0,1,331.0,Berries
20 33 0,1,296.0,Wood
5 33 0,1,291.0,Herbs
4 8 0,1,248.0,Rabbit
6 41 0,1,238.0,Squirrel
38 33 0,1,229.0,Herb Garden
39 33 0,1,226.0,Thorns
36 33 0,1,218.0,Deer
1 33 0,1,210.0,Muddy Water
25 8 0,1,209.0,Dry Campsite
8 8 0,1,202.0,Riverbank
6 33 0,1,201.0,Lizard
31 33 0,1,186.0,Berry Patch
33 33 0,1,172.0,Salmon
33 31 0,1,165.0,Fish
33 25 0,1,123.0,Storm
33 8 0,1,115.0,Quicksand
12 41 0,1,58.0,Cold Night
26 33 0,1,58.0,Frost
8 33 0,1,53.0,Cave
40 33 0,1,51.0,Rocky Outcrop
33 41 0,1,48.0,Bear
